POPID	Name	Neighborhood
POP-00001	Vinnie Keane	Grand Lake
POP-00002	Amara Keane	Grand Lake
POP-00003	Mark Aitken	Jack London
POP-00004	Lucia Polito	Fruitvale
POP-00005	Mags Corliss	Lake Merritt
POP-00007	Hal Richmond	Chinatown
POP-00008	P Slayer	West Oakland
POP-00009	Lena Carrow	Downtown
POP-00010	Dana Reeve	Chinatown
POP-00011	Carmen Delaine	Chinatown
POP-00012	Elliot Graye	Lake Merritt
POP-00013	Maria Keen	Lake Merritt
POP-00014	Tanya Cruz	Laurel
POP-00015	DeShawn Hartley	Jack London
POP-00016	Simon Leary	Rockridge
POP-00017	Anthony Raines	Rockridge
POP-00018	Benji Dillon	Rockridge
POP-00019	Isley Kelley	Rockridge
POP-00020	Elena Vásquez	Jack London
POP-00021	Darrin Davis	Laurel
POP-00022	Danny Horn	Temescal
POP-00023	Gregory Mims	West Oakland
POP-00024	Henry Rivas	Uptown
POP-00025	Arturo Ramos	Laurel
POP-00026	Allen Lopez	Fruitvale
POP-00027	Philly Rodriguez	Temescal
POP-00028	Manfred Owens	Jack London
POP-00029	Alisha Peña	Lake Merritt
POP-00030	Derek Simmons	Jack London
POP-00031	Martin Richards	Fruitvale
POP-00032	Anthony Casto	Lake Merritt
POP-00033	John Ellis	Laurel
POP-00034	Avery Santana	Rockridge
POP-00035	Laila Cortez	Uptown
POP-00036	Marcus Osei	Chinatown
POP-00037	Brenda Okoro	West Oakland
POP-00038	Theo Park	Temescal
POP-00039	Simone Ellis	Chinatown
POP-00040	Aaron Whitfield	Rockridge
POP-00041	Keisha Ramos	Lake Merritt
POP-00042	Ramon Vega	Lake Merritt
POP-00043	Janae Rivers	Piedmont Ave
POP-00044	Elliott Crane	Uptown
POP-00045	Eric Clove	Rockridge
POP-00046	Manny Ellen	Lake Merritt
POP-00047	Babe Bono	Lake Merritt
POP-00048	Carlos Presti	Downtown
POP-00049	Pamela Amelia	Piedmont Ave
POP-00050	Ernesto Quintero	Baylight District
POP-00051	Desmond Morton	Jack London
POP-00052	Clark Saryan	Downtown
POP-00053	Kevin Clark	Jack London
POP-00054	JR Rosado	Piedmont Ave
POP-00055	Ross Cabral	Temescal
POP-00056	Mint Condition	Downtown
POP-00057	Rachel Torres	Uptown
POP-00058	Sidney Tumolo	Lake Merritt
POP-00059	Buford Park	Fruitvale
POP-00060	Marco Fabregas	Laurel
POP-00061	JP Bolden	Temescal
POP-00062	Leo Lamar	Rockridge
POP-00063	Jose Baez	Rockridge
POP-00064	Jamaal West	Piedmont Ave
POP-00065	William Tata	Piedmont Ave
POP-00066	Johnny Carter	Uptown
POP-00067	Patrick Fiore	Fruitvale
POP-00068	Bryan Franco	Temescal
POP-00069	Craig Miller	Jack London
POP-00070	Dustin Mills	Lake Merritt
POP-00071	Jeff Cobain	Laurel
POP-00072	Francisco Davila	West Oakland
POP-00073	Rich Barnett	Piedmont Ave
POP-00074	Lenny Ryan	Temescal
POP-00075	Julian Porcelli	West Oakland
POP-00076	Edgar Fabregas	Laurel
POP-00077	Julio Valencia	Uptown
POP-00078	Sergio Aybar	Jack London
POP-00079	Frank Reyna	Lake Merritt
POP-00080	Richie Haynes	Piedmont Ave
POP-00081	Carmen Mesa	Lake Merritt
POP-00082	Reese Aulert	Uptown
POP-00083	Chad Tipre	Fruitvale
POP-00084	Garry Fraser	Uptown
POP-00085	Richie Ramiro	Uptown
POP-00086	Chuck Haskett	Rockridge
POP-00087	Fred Ciccone	Lake Merritt
POP-00088	Damien Johnson	Rockridge
POP-00089	Kelly McCloud	Laurel
POP-00090	Sean Prado	Piedmont Ave
POP-00091	Delmon Regan	Downtown
POP-00092	Carlos Flores	Laurel
POP-00093	Esteban Ramos	Piedmont Ave
POP-00094	Humberto Mejia	Temescal
POP-00095	Andy Seymour	Uptown
POP-00096	Matt Thomas	Lake Merritt
POP-00097	David Hand	Fruitvale
POP-00098	Dave Mullins	Fruitvale
POP-00099	Koji Ono	Fruitvale
POP-00100	Reggie McGregor	Laurel
POP-00101	Jose Fuentes	Fruitvale
POP-00102	Rod Geary	Fruitvale
POP-00103	Kevin Ham	Uptown
POP-00104	Willy Rodriguez	Downtown
POP-00105	Robby Branham	Piedmont Ave
POP-00106	Jeff Mateo	Chinatown
POP-00107	Giuseppe Santiago	Chinatown
POP-00108	Kilian Saunders	Chinatown
POP-00109	Troy William	West Oakland
POP-00110	Estevan Carmona	West Oakland
POP-00111	Roscoe Reese	Lake Merritt
POP-00112	Armando Marquez	Chinatown
POP-00113	Ray Clark	Temescal
POP-00114	Mike Kinder	Temescal
POP-00115	Dan Perez	Lake Merritt
POP-00116	Fernando Lima	Chinatown
POP-00117	Babe Bradford	Chinatown
POP-00118	Stephan Kollars	Chinatown
POP-00119	Beverly Peterson	West Oakland
POP-00120	Lou Hollis	Rockridge
POP-00121	Otis Redd	Rockridge
POP-00122	Miguel Casillas	Downtown
POP-00123	Tre Mingo	Uptown
POP-00124	Steve Conrad	Rockridge
POP-00125	Paul Skenes	Jack London
POP-00126	Orion Kerkering	Temescal
POP-00127	Mason Miller	Downtown
POP-00128	Kris Bubic	West Oakland
POP-00129	Dalton Rushing	Chinatown
POP-00130	Carlos Chávez	Lake Merritt
POP-00131	Lorenzo Jordan	Downtown
POP-00132	Tobias Jurko	Piedmont Ave
POP-00133	Ariana Reyes	Downtown
POP-00134	Brianna Lee	Laurel
POP-00135	Mina Linas	Lake Merritt
POP-00136	Rafael Montez	Piedmont Ave
POP-00137	Kimberly Cho	Piedmont Ave
POP-00138	Leonard Briggs	Lake Merritt
POP-00139	Samantha Viteri	Uptown
POP-00140	Marcus Hollowell	Chinatown
POP-00141	Priya Narang	Uptown
POP-00142	Jonas Patel	Chinatown
POP-00143	Clarissa Dane	Fruitvale
POP-00144	Ethan D’Souza	Lake Merritt
POP-00145	Janelle Rourke	Uptown
POP-00146	Caleb Reyes	West Oakland
POP-00147	Marisol Guzman	Lake Merritt
POP-00148	Gordon Tate	Downtown
POP-00149	Lamine Sissoko	Temescal
POP-00150	Helena Morr	Jack London
POP-00151	Victor Han	Chinatown
POP-00152	Shawna Delgado	Rockridge
POP-00153	Jordan Velez	Uptown
POP-00154	Lila Mezran	Piedmont Ave
POP-00155	Trevor Shimizu	Laurel
POP-00156	Angela Reyes	Jack London
POP-00157	Noah Tan	Rockridge
POP-00158	Kai Marston	Rockridge
POP-00159	Sharon Okafor	Rockridge
POP-00160	Mason Ortega	Uptown
POP-00161	Farrah Del Rio	Temescal
POP-00162	Reed Thompson	Chinatown
POP-00164	Celeste Tran	West Oakland
POP-00165	Arman Gutierrez	Downtown
POP-00166	Elliot Marbury	Piedmont Ave
POP-00167	Carlo Jist	Lake Merritt
POP-00168	Ariana Lee	Piedmont Ave
POP-00169	Brie Harris	Temescal
POP-00170	Melton Neilon	Temescal
POP-00171	Sofia Jordan	Downtown
POP-00172	Marlon Hingsley	Downtown
POP-00173	Kaila Braun	Fruitvale
POP-00174	Tariq Jello	Laurel
POP-00175	Sara Copper	Temescal
POP-00176	Talmon Lint	West Oakland
POP-00177	Elle Lilo	Jack London
POP-00178	Tobi Sobi	Lake Merritt
POP-00179	Leo Leonard	Downtown
POP-00180	Cameron Wallen	Downtown
POP-00181	Xavier Ramington	Temescal
POP-00182	Jorry Cula	Uptown
POP-00183	Toby Lamont	Fruitvale
POP-00184	Brooklyn Nguyen	Fruitvale
POP-00185	Lila Patty	West Oakland
POP-00186	Ray Samson	Laurel
POP-00187	Isla Sike	West Oakland
POP-00188	Simone Cleng	West Oakland
POP-00189	Blair Patel	Jack London
POP-00190	Jackson Sift	West Oakland
POP-00191	Darius Scoot	Rockridge
POP-00192	Bea Cartier	Laurel
POP-00193	Elena Leon	Jack London
POP-00194	Yu Zen	Rockridge
POP-00195	Lonzo Jailon	Lake Merritt
POP-00196	Inga Creator	Uptown
POP-00197	Rigo Ryno	Temescal
POP-00198	Rick Walker	Fruitvale
POP-00199	Mateo Allen	Laurel
POP-00200	Evan Lewis	Laurel
POP-00201	Elio Perez	West Oakland
POP-00202	Marky Beal	West Oakland
POP-00203	Jacob Perez	Uptown
POP-00204	Orlando Phillips	Laurel
POP-00205	Travis Golin	Jack London
POP-00206	Omar Lingio	Temescal
POP-00207	Owen Tower	Fruitvale
POP-00208	Patrick When	Downtown
POP-00209	Tiu Xiong	Uptown
POP-00210	Depak Ying	Rockridge
POP-00211	Christopher Johnson	Lake Merritt
POP-00212	Jessie Hess	Downtown
POP-00213	Davey Martinez	Temescal
POP-00214	Jacquez Tearn	Chinatown
POP-00215	Ricky Wilton	Downtown
POP-00216	Victor Alize	Piedmont Ave
POP-00217	Kenton Pearl	Piedmont Ave
POP-00218	Joel Wren	West Oakland
POP-00219	Tyrone Bennington	Temescal
POP-00220	Shawn Gown	Uptown
POP-00221	Broderick Mitchell	Temescal
POP-00222	Travis Paiz	Lake Merritt
POP-00223	Rafael Brannie	Laurel
POP-00224	Dillon Trevor	Downtown
POP-00225	Andre Turner	Downtown
POP-00226	Jemeal Brim	Piedmont Ave
POP-00227	Colin Soria	Temescal
POP-00228	Javier Robertson	Temescal
POP-00229	Bennet Green	Laurel
POP-00230	Jett Walker	Rockridge
POP-00231	Calvin Turner	Fruitvale
POP-00232	Jori Clame	Laurel
POP-00233	Mason Walt	Rockridge
POP-00234	Melo Arnez	Laurel
POP-00235	Aaliyah Brennan	Lake Merritt
POP-00236	Ravi O'Connell	Temescal
POP-00237	Jerry Nelson	Uptown
POP-00238	Clearence Leighton	Piedmont Ave
POP-00239	Xiu Cello	Piedmont Ave
POP-00240	Daley Hill	Downtown
POP-00241	Marc Allie	Laurel
POP-00242	Jaden Phillips	Uptown
POP-00243	Xanny Allen	Jack London
POP-00244	Derlik Green	Downtown
POP-00245	Jaren Lanning	Uptown
POP-00246	Dearie Beacon	Chinatown
POP-00247	Baxter Thompson	Rockridge
POP-00248	Joaquín Nakamura	Uptown
POP-00249	Marrin Benry	Fruitvale
POP-00250	Ty Yule	Jack London
POP-00251	Shawn Weller	Chinatown
POP-00252	Hector Leech	Jack London
POP-00253	Jango Lango	Piedmont Ave
POP-00254	Tyrie Groin	Laurel
POP-00255	Howard Travis	Piedmont Ave
POP-00256	Brady Lopez	Piedmont Ave
POP-00257	Farah Lindqvist	Downtown
POP-00258	Brian Adams	Jack London
POP-00259	Kwame Fitzgerald	Uptown
POP-00260	Kevel Phoul	Lake Merritt
POP-00261	Ronnie Lar	Fruitvale
POP-00262	Victor King	Rockridge
POP-00263	Omar Amici	Uptown
POP-00264	Bodhi Davis	Fruitvale
POP-00265	Matty Lipo	Lake Merritt
POP-00266	Priya Marchetti	Temescal
POP-00267	Jacob King	Rockridge
POP-00268	Shane Phelps	Lake Merritt
POP-00269	Kevin Nelson	Temescal
POP-00270	Tevan Walker	Laurel
POP-00271	Luca Petrov	Uptown
POP-00272	Joseph Cramp	Downtown
POP-00273	Trenton Nawan	Jack London
POP-00274	Evan Bing	Rockridge
POP-00275	Elijah Roberts	West Oakland
POP-00276	Dmitri Soto	Jack London
POP-00277	Emmet Gorn	Uptown
POP-00278	Colt Biker	West Oakland
POP-00279	Mac Hillie	Uptown
POP-00280	Jerald Jensen	West Oakland
POP-00281	Jay Adams	Uptown
POP-00282	Edmund Alegero	Lake Merritt
POP-00283	Owen Low	Uptown
POP-00284	Tyrone Lulu	Temescal
POP-00285	Ben Clark	Piedmont Ave
POP-00286	Yammie Perez	Temescal
POP-00287	Simone Adesanya	Rockridge
POP-00288	Marcus Wright	West Oakland
POP-00289	Joesph Allen	Laurel
POP-00290	Omar Cleo	Temescal
POP-00291	Enzo Walker	Lake Merritt
POP-00292	Jack Phillips	Temescal
POP-00293	Malot Bielo	Lake Merritt
POP-00294	Miguel Joson	Chinatown
POP-00295	Christopher Clerk	Chinatown
POP-00296	Den Blue	Piedmont Ave
POP-00297	Jorge Wusther	Uptown
POP-00298	Luis Taz	Fruitvale
POP-00299	Joel Henry	Uptown
POP-00300	Belle Lopez	Jack London
POP-00301	Lila Leap	West Oakland
POP-00302	Toto Foto	Uptown
POP-00303	Lee Coo	Piedmont Ave
POP-00304	Alma Lewis	Rockridge
POP-00305	Rico Fister	Rockridge
POP-00306	Mika Loop	Rockridge
POP-00307	Minka Slayton	Uptown
POP-00308	Cathy Skeet	Chinatown
POP-00309	Amy Cook	Lake Merritt
POP-00310	Arnie Carter	Fruitvale
POP-00311	Andre Lee	Temescal
POP-00312	Wiu Wiu	Rockridge
POP-00313	Soria Herrin	Piedmont Ave
POP-00314	Lemante Naruto	Jack London
POP-00315	Jahill West	Temescal
POP-00316	Chris Foster	Uptown
POP-00317	Lila Bennington	Fruitvale
POP-00318	Carter Harris	Downtown
POP-00319	Marquis Cale	Temescal
POP-00320	Cee Lee	Lake Merritt
POP-00321	Jee Lei	Uptown
POP-00322	Lillie Regis	Lake Merritt
POP-00323	Cooper Erazmo	Laurel
POP-00324	Milan Warmon	Temescal
POP-00325	Isabel Lopes	Fruitvale
POP-00326	Eva Langoria	Lake Merritt
POP-00327	Bambi Wart	West Oakland
POP-00328	Javier Trenton	Fruitvale
POP-00329	Aaron Jackson	Chinatown
POP-00330	Blaire Jackson	Piedmont Ave
POP-00331	Isabelle Louis	Uptown
POP-00332	Diego Remo	Temescal
POP-00333	Moot Soot	Temescal
POP-00334	Solis Walmart	Downtown
POP-00335	Imie Calero	Downtown
POP-00336	Marmol Lemon	Uptown
POP-00337	Iris Baron	Downtown
POP-00338	Coen Cartier	Uptown
POP-00339	Kaila Nguyen	Fruitvale
POP-00340	Jimmie Joseph	Lake Merritt
POP-00341	Emilia Wurford	Chinatown
POP-00342	Leo Ling	Lake Merritt
POP-00343	Iman Horton	Chinatown
POP-00344	Tobert Lewis	Downtown
POP-00345	Bonnie Brown	Uptown
POP-00346	Ingmar Jordan	Uptown
POP-00347	Dawson Nguyen	Temescal
POP-00348	Melony Foster	Uptown
POP-00349	Jiu Wong	Laurel
POP-00350	Tobias Nort	Chinatown
POP-00351	Ryan Stark	Downtown
POP-00352	Kaila Jordache	Piedmont Ave
POP-00353	Ridley Holt	Lake Merritt
POP-00354	Illy Jile	Chinatown
POP-00355	Sammie Soft	West Oakland
POP-00356	Bethany Foster	Jack London
POP-00357	Andrew Cook	West Oakland
POP-00358	Rilen Lend	Laurel
POP-00359	Soira Flesher	Downtown
POP-00360	Lingo Kim	Temescal
POP-00361	Jason Flower	Fruitvale
POP-00362	Xavier Davis	Downtown
